"x.km.ns","y.km.ns","x.km.os","y.km.os","lon.ns","lat.ns","lon.os","lat.os"
-8914.59375400561,7903.31467904861,-8866.91951161026,8203.76274699577,-111.179248587788,68.1098103179403,-114.523509778524,70.8282953379575
-8818.48447277266,7902.08690427541,-8829.65015393592,8201.95957238623,-109.98850663342,68.1645615082155,-114.027386589725,70.8378283501977
-8722.73469913108,7927.81037059031,-8762.52745907208,8209.28313137329,-109.128250992482,68.4576963223951,-113.28006624006,70.9499232222998
-8627.96440180431,7957.85301712472,-8658.26111571064,8223.54656518749,-108.32919621612,68.7882363130732,-112.155978047403,71.1493096631706
-8528.44576454644,7961.86194134384,-8504.1726258955,8227.67744702263,-107.150955221043,68.8894531217635,-110.256207382821,71.2891773237128
-8432.06884386816,7947.95771528295,-8359.87634278359,8198.57199760802,-105.795524900023,68.8280724119447,-108.035274296772,71.1204801385876
-8351.17640559598,7894.4674411017,-8253.78861368828,8163.35497625553,-104.173711668293,68.4035628057555,-106.234374846554,70.8709148973119
-8261.6791009447,7855.94714014881,-8185.13950357497,8140.30888211922,-102.639212293788,68.117429190247,-105.074801029506,70.706773183148
-8166.8959865438,7829.86315745659,-8141.16974376157,8132.31004467938,-101.191920944764,67.9444413012237,-104.420217288383,70.66228648963
-8069.28047300208,7832.1766706087,-8094.90769172739,8132.69342361089,-100.02632925472,68.0246170930586,-103.842000400825,70.6944049219658
-7973.67991564768,7856.91508070676,-8037.18280820588,8142.25506162963,-99.1271046874723,68.3022214046372,-103.232645629846,70.8159049123076
-7880.61732296895,7891.5814162864,-7971.61659136483,8160.87228077185,-98.3634498783945,68.6663222730116,-102.634996813294,71.0234414963543
-7782.41142548533,7908.2653351677,-7912.71379519091,8184.6100424503,-97.3365820467051,68.8727836338683,-102.18364679353,71.2729161528704
-7693.76804090912,7953.18522105413,-7863.45370838039,8212.32469980275,-96.731986141208,69.3252628336178,-101.903687296575,71.5524911596925
-7626.1026803812,8026.50405189066,-7809.75764748704,8252.14090193744,-96.7038350448024,70.0202531001375,-101.720250979109,71.9442754198969
-7562.12063931055,8102.86271757093,-7736.92575364959,8313.08037499431,-96.7692699454323,70.7420552566516,-101.564898411921,72.539345413593
-7487.32871725259,8168.44845462838,-7629.55025842655,8393.13640897048,-96.5856863781259,71.3746777366925,-101.220251085105,73.3297401744082
-7397.6864051872,8212.02948316787,-7491.82568688293,8461.74787639113,-95.9576351044052,71.8179367044958,-100.331874355324,74.0344474451112
-7302.23378759926,8231.84826660501,-7245.09965100131,8487.29594936223,-94.9706122572742,72.0495187870935,-97.4155149177671,74.4036506836905
-7217.55774521853,8184.18318582409,-7052.68675937696,8387.75970883497,-93.3346283899171,71.6650226808897,-93.6166361454319,73.5970031107645
-7174.6537647903,8094.42341053262,-6973.60110543212,8317.29190488294,-91.7876132889667,70.8797052855462,-91.7399434771833,72.9977875852852
-7113.08744939243,8016.82528093246,-6935.85929415553,8286.83191584953,-90.1840046480169,70.2156422314911,-90.8965769884206,72.7411064293696
-7028.87795082977,7965.10242728621,-6903.75991241388,8269.7267039855,-88.6001998418827,69.7962288539166,-90.285963435639,72.6026490112105
-6932.04694719847,7945.33158788468,-6867.50651377894,8258.97025223807,-87.1975756023741,69.6690904039375,-89.6965039126152,72.5237620900263
-6834.06344211404,7959.92686081678,-6806.47118667802,8250.44912603046,-86.1225280425001,69.8494319885288,-88.8145356538851,72.4774991948492
-6737.31221114355,7974.41691518763,-6713.71426217188,8242.8443209085,-85.0582094875617,70.0275154526798,-87.5359505917355,72.4549557430277
-6638.84509970401,7957.74822100388,-6565.21314252297,8217.4912037845,-83.6688946387425,69.9264505021358,-85.352685192739,72.2983336750537
-6547.37892403409,7922.01603976321,-6380.46245405547,8123.86753267338,-82.193854486006,69.6505219409047,-82.0318577649779,71.541655015088
-6508.21608518069,7842.41857007689,-6258.64007802019,7795.09855941952,-80.9839703222366,68.9571511495286,-77.5044503557788,68.6497791263419
-6567.73641714649,7763.24888270041,-6333.51576288165,7614.87905976157,-81.0150624662666,68.2220088384692,-76.940166948164,67.0087009782406
-6625.21007395034,7682.33320921419,-6392.59396461343,7527.5040848594,-81.0169776830337,67.4734308343841,-76.9646035957995,66.2046355120221
-6694.61663710819,7611.31099343519,-6425.73383963851,7472.7773899003,-81.2557891076781,66.8082131573451,-76.9398670782762,65.7033507685171
-6757.96008162343,7534.65317232944,-6437.00099690727,7444.80861767911,-81.3811837016787,66.0966852309652,-76.8619663747214,65.4499130663444
-6790.33110028265,7441.02214341179,-6438.76907786868,7431.72796317172,-81.0129968466301,65.2506888231154,-76.7846748401989,65.3330144386809
-6788.51142508788,7342.22440074193,-6438.20105087941,7425.99796493067,-80.2252846363089,64.3767444555874,-76.7350901317045,65.2824240839889
-6752.81666387951,7250.15117070059,-6435.43529832956,7418.32621019478,-79.1224523832457,63.5793945108372,-76.6451782535616,65.2156059929904
-6687.52743091887,7175.8959354273,-6431.51009572912,7412.92893877102,-77.8338267941263,62.9536421006088,-76.5586841658763,65.1694982163538
-6600.40032681343,7128.48330400547,-6422.6567472473,7405.61285720261,-76.5011491110784,62.5746330111652,-76.3999681740009,65.1085979545414
-6502.92837734068,7108.20394404831,-6398.16621674538,7394.22558660546,-75.2438478009259,62.4392127178502,-76.027269936987,65.0186229365866
-6404.24358824956,7116.78889625213,-6323.46146822389,7370.43619987121,-74.1667392253449,62.5586855916728,-74.9747966851459,64.8409370764627
-6316.61331058905,7078.77126553848,-6200.47842301295,7322.89868115284,-72.9129935463996,62.2604720864009,-73.1953803617815,64.4730114233775
-6241.93732618002,7012.6219673374,-6092.05244308281,7262.65544589826,-71.6417757663074,61.7072084244757,-71.5190886774617,63.9848414316888
-6154.83829393536,6965.25794709792,-6013.10758494579,7216.33535323233,-70.3613774354145,61.3246218895339,-70.2969071320232,63.6069268210483
-6070.75910506288,6918.77510542785,-5943.58743654388,7179.35011965852,-69.132762304786,60.9478081394093,-69.2549988653531,63.3073914101485
-5994.80508627736,6855.10881006252,-5882.25987653079,7152.56846936337,-67.9104819361527,60.4150144982578,-68.3788074681223,63.0946150204286
-5901.67997327929,6821.94593371735,-5825.95102806212,7135.22280470575,-66.6786221861033,60.1580836666435,-67.6225187987579,62.9631986025714
-5803.00125327612,6823.2807683078,-5752.76000776086,7121.0016557674,-65.5766512462151,60.2077935338694,-66.6928631229048,62.8658138275909
-5707.26168062309,6849.89303647353,-5596.14242789859,7077.57570821818,-64.6419113278828,60.4796559439625,-64.6369881279449,62.5405172200474
-5673.22778934101,6759.91065288112,-5418.39646407602,6867.54032794534,-63.787177106898,59.6952791701227,-61.4754083474564,60.7417011738246
-5642.5349904384,6664.88945183153,-5377.11356556546,6756.53203961088,-62.9650628989477,58.8650765919054,-60.4558459494622,59.7714498125345
-5609.97332441432,6570.43253951321,-5345.63882679843,6665.73863090114,-62.1460059108917,58.0405496137407,-59.6696807682919,58.977090522919
-5581.14979996402,6474.80560210355,-5317.09058292417,6593.91846182655,-61.3826971325371,57.2043095172873,-59.0207759295463,58.3499439099739
-5552.05338880921,6379.75255600185,-5291.93696267928,6546.71430653656,-60.6381025915042,56.3731988787562,-58.53031182096,57.939839959871
-5491.83727135271,6301.12456350968,-5260.00000830396,6504.00893418058,-59.6447873586634,55.6977579790191,-57.9904554091839,57.5717723092885
-5411.3022453631,6246.17873141958,-5210.75432793436,6453.21335600905,-58.5456456560483,55.2380151256423,-57.231605831567,57.1374391302738
-5324.40360859869,6197.8723165425,-5136.17463241365,6380.26081733131,-57.4151599948385,54.8383095264698,-56.1133727799166,56.5143066244282
-5268.42247182334,6115.98556172185,-5039.85914488635,6262.58690947488,-56.4961037793945,54.1307073494884,-54.602106514886,55.5003781371277
-5223.10154792096,6033.58034708477,-4968.61500790917,6063.71280764065,-55.7037597316116,53.4147519915974,-53.1030398320578,53.7574298891434
-5235.96642071203,5936.42202750188,-4983.30501215486,5865.74915202843,-55.4878303426173,52.5503707339231,-52.5794350379766,51.9975604756733
