"x.km.ns","y.km.ns","x.km.os","y.km.os","lon.ns","lat.ns","lon.os","lat.os"
-14625.9473602186,6966.57698197484,-14740.8076573618,7205.37845353058,-164.839138084371,54.8932363035493,-169.350851394325,56.6354428851086
-14529.1160238445,6991.41455589361,-14616.4503015041,7254.11745915352,-164.108621776168,55.2013559936055,-168.675149036737,57.1732278587742
-14430.9435554843,7010.27458079727,-14529.1362003406,7283.42206774397,-163.283984290289,55.4637874486534,-168.130568989004,57.5125469510353
-14334.9330155283,7038.02934632889,-14468.8469329322,7308.50178552547,-162.597991638434,55.7940737848014,-167.825311455388,57.785663123677
-14239.6382198728,7066.88488565272,-14430.3784312075,7331.08732699978,-161.933495453069,56.1324987034477,-167.727642250689,58.0126471530156
-14153.591533022,7114.75756280423,-14408.3392734399,7350.18297462081,-161.623574478291,56.6125029838371,-167.763266562593,58.1920171819427
-14088.6644834594,7188.94964020176,-14393.097052282,7371.09022397209,-161.910495005984,57.2805255439791,-167.903267424016,58.3777874056127
-14053.1312240251,7281.31515284884,-14385.9302660943,7387.91041737428,-162.801200724926,58.063318338058,-168.074408718044,58.5211635139247
-14055.2110858626,7380.25762057798,-14380.7121494549,7414.08519993225,-164.250506414901,58.8581383295698,-168.410170357765,58.7372296654921
-14089.6056041534,7472.91790020091,-14378.9893900071,7477.56179025165,-166.02430552858,59.5659350640475,-169.363304730372,59.2487264798831
-14116.3993330806,7564.43860948366,-14352.4763925525,7638.76565137809,-167.749160672004,60.2752657681055,-171.640431899918,60.5825506416544
-14038.4000820489,7626.34753609646,-14309.0736288705,7748.17034638695,-167.848268870561,60.8752240533871,-172.984910859526,61.527790268504
-13980.5067927712,7706.42933233467,-14286.6401037706,7802.42184678219,-168.49477376464,61.602209371119,-173.668465800293,62.0004990931518
-13953.9785073624,7801.85545034951,-14283.4978816415,7818.57708890517,-169.802894433913,62.4211036774235,-173.916635570491,62.1370341621027
-13960.920455446,7899.06248690044,-14284.2669103226,7829.36628987424,-171.594409441741,63.2179943818261,-174.116630827572,62.2245611286112
-13993.4383595936,7992.8410722437,-14288.0518379849,7839.14591014065,-173.696076145477,63.9585230614747,-174.334496150668,62.2999066045621
-14056.2689709971,8069.28071041602,-14295.0072779903,7848.65606957321,-175.896767055062,64.5176667758952,-174.585129493378,62.368911765868
-14141.5613512707,8119.07377437881,-14323.1805013286,7872.64488870138,-177.89012900584,64.8233550989111,-175.344489985092,62.5290021303363
-14238.7330933165,8136.57253379155,-14413.4516146397,7942.70692471595,-179.398127826345,64.8391516833592,-177.687563434943,62.9854158529205
-14231.3376444187,8192.7658278034,-14386.5156997961,8412.2927797887,179.540764691796,65.3246232946712,172.860762509932,66.9899922978959
-14144.0554244148,8241.51039693308,-14288.0551792712,8476.22366627368,179.569771834151,65.8598276349437,172.566653575832,67.6921840836203
-14056.7732044108,8290.25496606277,-14196.8647296257,8530.70906475889,179.586379176978,66.3979413279772,172.381545612751,68.3065063908403
-13969.4909844069,8338.99953519246,-14106.1630589911,8582.67890505151,179.590115034725,66.9390743449236,172.230450446663,68.9026237054688
-13882.2087644029,8387.74410432215,-14015.3323520483,8632.90627540059,179.580477767617,67.4833451687352,172.104470683927,69.4879431744464
-13794.9265443989,8436.48867345184,-13923.1951835083,8682.06001851813,179.556933228067,68.0308816109657,172.003075460635,70.0699838058829
-13707.644324395,8485.23324258153,-13828.737783985,8730.13922703257,179.518911922846,68.5818217280374,171.940385989755,70.6500036003948
-13618.7962746765,8530.62295170546,-13724.6475766358,8778.47198829252,179.564407932773,69.1081645669127,171.975677623582,71.2505520035529
-13519.8584145892,8537.73066632849,-13631.9794988387,8814.86964897931,-179.367466191918,69.3038037336244,172.174448102159,71.7256474311572
-13427.9682292342,8574.29811668573,-13576.8315857759,8841.50501520743,-179.080968110717,69.7565371938717,172.150755955111,72.0575126925632
-13353.849767703,8640.05636849009,-13503.4831006704,8885.57235670804,-179.735400594755,70.4566146641417,171.865166811466,72.5857513484933
-13283.8437245306,8708.96496277274,-13406.2423962552,8941.4679308287,179.436841953894,71.1890077081869,171.528361097342,73.2686879412214
-13192.7841231125,8749.59930633328,-13258.2060480842,9002.75889439537,179.565766836792,71.6898659505087,171.669399846998,74.0821998631358
-13098.5722505369,8727.17327554794,-12943.2346080141,8929.43931428689,-178.649880851562,71.5985495166542,177.975158460922,73.7510644410042
-13065.9988344887,8638.52957873656,-12835.0298914058,8813.09179227534,-176.043736861538,70.8112766047142,-177.449270369392,72.7474405777437
-13037.3741780846,8543.40641100303,-12792.0446795651,8758.41425924233,-173.446859548686,69.9732364329681,-175.485660367425,72.2763662578982
-12975.9412413064,8465.47640575703,-12763.6975560322,8730.68592413098,-170.929512326096,69.3430023224622,-174.424186630963,72.047637490966
-12891.6605849604,8413.69092596351,-12737.5548687573,8713.75642376959,-168.759963248011,68.9802087675873,-173.668501973337,71.9193095153572
-12794.8251657794,8394.21015168161,-12708.2794740564,8702.77157389268,-167.14487101383,68.9215690671439,-173.02231406243,71.8510613993269
-12695.3119937071,8398.21417237778,-12670.2046689598,8696.63444094286,-165.991186495471,69.0746369401556,-172.382706017315,71.838951658683
-12595.6028755635,8397.90066801882,-12618.0367020705,8696.93462915807,-164.743088776271,69.1878406587466,-171.7179046007,71.9039134159402
-12497.4729553788,8415.66404032699,-12550.7040040564,8705.97023666459,-163.887234005444,69.4602225462599,-171.067695175875,72.0685971624911
-12404.4089462157,8451.70047054192,-12469.7209900928,8723.6509941383,-163.474237508087,69.8913754250284,-170.448606101753,72.3304684449715
